run,Coin Price,tick
Uniform,91.57634446,215
Uniform,94.29479268,216
Uniform,95.54059338,217
Uniform,97.94198347,218
Uniform,93.55703573,219
Uniform,89.73865636,220
Uniform,89.63421571,221
Uniform,88.00305311,222
Uniform,88.5413059,223
Uniform,88.53498887,224
Uniform,91.39369651,225
Uniform,94.96973515,226
Uniform,98.25146455,227
Uniform,102.8537231,228
Uniform,99.28537518,229
Uniform,100.9331901,230
Uniform,101.6897769,231
Uniform,97.56593888,232
Uniform,95.2526274,233
Uniform,96.09016497,234
Uniform,92.93152011,235
Uniform,91.20069627,236
Uniform,88.27301976,237
Uniform,84.15944891,238
Uniform,82.72376533,239
Uniform,83.14867357,240
Uniform,81.32543994,241
Uniform,84.42947379,242
Uniform,87.08640685,243
Uniform,89.86428337,244
Uniform,93.17340734,245
Uniform,93.13156832,246
Uniform,94.8046134,247
Uniform,95.65101943,248
Uniform,92.59335137,249
Uniform,90.40334435,250
Uniform,94.45693642,251
Uniform,90.11754159,252
Uniform,92.81577877,253
Uniform,90.82463809,254
Uniform,95.31223884,255
Uniform,99.83405062,256
Uniform,97.95673576,257
Uniform,101.0221062,258
Uniform,101.7240819,259
Uniform,104.8263354,260
Uniform,101.0158043,261
Uniform,104.4601009,262
Uniform,101.6753908,263
Uniform,103.0107464,264
Uniform,102.0523007,265
Uniform,104.5159668,266
Uniform,101.4826289,267
Uniform,101.1713594,268
Uniform,99.02537988,269
Uniform,99.89082591,270
Uniform,103.7643578,271
Uniform,108.2317102,272
Uniform,112.8077534,273
Uniform,108.5581283,274
Uniform,110.1267452,275
Uniform,106.603942,276
Uniform,102.0389744,277
Uniform,98.48544234,278
Uniform,99.34979199,279
Uniform,94.8603552,280
Uniform,92.10830748,281
Uniform,95.44839918,282
Uniform,92.99487581,283
Uniform,94.66405102,284
Uniform,95.08424353,285
Uniform,91.1231824,286
Uniform,90.73018978,287
Uniform,90.2569139,288
Uniform,87.12732617,289
Uniform,87.00290972,290
Uniform,87.26421247,291
Uniform,88.1295014,292
Uniform,91.09928402,293
Uniform,95.43609638,294
Uniform,99.71276565,295
Uniform,96.53692658,296
Uniform,95.16385456,297
Uniform,92.27285911,298
Uniform,90.61537676,299
Uniform,94.74145896,300
Uniform,90.09718126,301
Uniform,90.55552577,302
Uniform,93.97003456,303
Uniform,98.05444531,304
Uniform,99.14476359,305
Uniform,101.8987938,306
Uniform,98.69453474,307
Uniform,100.639709,308
Uniform,98.11299181,309
Uniform,95.46329671,310
Uniform,95.33305275,311
Uniform,99.05152831,312
Uniform,97.13718761,313
Uniform,99.40100744,314
Uniform,97.75856164,315
Uniform,96.40777872,316
Uniform,93.8961545,317
Uniform,96.80793841,318
Uniform,100.0438493,319
Uniform,104.7056568,320
Uniform,101.6299609,321
Uniform,105.9080221,322
Uniform,101.8184847,323
Uniform,102.0040402,324
Uniform,101.9623287,325
Uniform,99.08755217,326
Uniform,99.04720524,327
Uniform,102.8208654,328
Uniform,100.7745206,329
Uniform,103.8695644,330
Uniform,100.5973995,331
Uniform,103.0220639,332
Uniform,102.975363,333
Uniform,108.0386525,334
Uniform,112.3648542,335
Uniform,113.0863716,336
Uniform,111.555895,337
Uniform,111.9124005,338
Uniform,110.4288235,339
Uniform,111.5310306,340
Uniform,116.7019782,341
Uniform,116.0247906,342
Uniform,111.8965926,343
Uniform,115.0004431,344
Uniform,114.9342525,345
Uniform,113.0240429,346
Uniform,117.3388053,347
Uniform,120.3224787,348
Uniform,124.9588871,349
Uniform,124.707514,350
Uniform,121.6997181,351
Uniform,118.5712,352
Uniform,122.4477134,353
Uniform,124.6047692,354
Uniform,123.006887,355
Uniform,118.7127428,356
Uniform,119.0773319,357
Uniform,118.6028906,358
Uniform,122.718575,359
Uniform,120.7944265,360
Uniform,123.3560404,361
Uniform,126.0635592,362
Uniform,119.7955917,363
Uniform,119.752004,364
Uniform,117.9812638,365
Uniform,118.4242483,366
Uniform,113.5640613,367
Uniform,117.3821583,368
Uniform,120.5492668,369
Uniform,121.2782353,370
Uniform,122.4979854,371
Uniform,121.7762898,372
Uniform,116.9261523,373
Uniform,112.4963179,374
Uniform,114.0939695,375
Uniform,118.240636,376
Uniform,120.1828048,377
Uniform,120.5179974,378
Uniform,115.2718256,379
Uniform,115.5115909,380
Uniform,114.4275073,381
Uniform,110.0337354,382
Uniform,108.7000581,383
Uniform,103.7174463,384
Uniform,106.9668203,385
Uniform,111.875815,386
Uniform,108.1689772,387
Uniform,102.9903911,388
Uniform,103.4468376,389
Uniform,107.4927695,390
Uniform,112.0611171,391
Uniform,117.0744515,392
Uniform,115.4806594,393
Uniform,111.083552,394
Uniform,111.8600108,395
Uniform,109.1978589,396
Uniform,108.372971,397
Uniform,103.1541788,398
Uniform,99.14153213,399
Uniform,99.34130274,400
Uniform,100.8487934,401
Uniform,96.74475539,402
Uniform,100.2742241,403
Uniform,96.26217653,404
Uniform,93.80416539,405
Uniform,97.77849026,406
Uniform,93.09446714,407
Uniform,96.19444307,408
Uniform,92.98709901,409
Uniform,96.1562549,410
Uniform,93.90212138,411
Uniform,96.789886,412
Uniform,95.15641031,413
Uniform,98.43118643,414
Uniform,98.37879847,415
Uniform,94.49037568,416
Uniform,90.92442941,417
Uniform,89.9742325,418
Uniform,92.46700762,419
Uniform,88.43038683,420
Uniform,91.35401249,421
Uniform,93.69213861,422
Uniform,96.13454265,423
Uniform,93.77317565,424
Uniform,98.00304267,425
Uniform,100.8118589,426
Uniform,98.01549882,427
