"Coin Price","tick"
Infinity,270.0
Infinity,271.0
Infinity,272.0
Infinity,273.0
Infinity,274.0
Infinity,275.0
Infinity,276.0
Infinity,277.0
Infinity,278.0
Infinity,279.0
Infinity,280.0
Infinity,281.0
Infinity,282.0
Infinity,283.0
Infinity,284.0
Infinity,285.0
Infinity,286.0
Infinity,287.0
Infinity,288.0
Infinity,289.0
Infinity,290.0
Infinity,291.0
Infinity,292.0
Infinity,293.0
Infinity,294.0
Infinity,295.0
Infinity,296.0
Infinity,297.0
Infinity,298.0
Infinity,299.0
Infinity,300.0
Infinity,301.0
Infinity,302.0
Infinity,303.0
Infinity,304.0
Infinity,305.0
Infinity,306.0
Infinity,307.0
Infinity,308.0
Infinity,309.0
Infinity,310.0
Infinity,311.0
Infinity,312.0
Infinity,313.0
Infinity,314.0
Infinity,315.0
Infinity,316.0
Infinity,317.0
Infinity,318.0
Infinity,319.0
Infinity,320.0
Infinity,321.0
Infinity,322.0
Infinity,323.0
Infinity,324.0
Infinity,325.0
Infinity,326.0
Infinity,327.0
Infinity,328.0
Infinity,329.0
Infinity,330.0
Infinity,331.0
Infinity,332.0
Infinity,333.0
Infinity,334.0
Infinity,335.0
Infinity,336.0
Infinity,337.0
Infinity,338.0
Infinity,339.0
Infinity,340.0
Infinity,341.0
Infinity,342.0
Infinity,343.0
Infinity,344.0
Infinity,345.0
Infinity,346.0
Infinity,347.0
Infinity,348.0
Infinity,349.0
Infinity,350.0
Infinity,351.0
Infinity,352.0
Infinity,353.0
Infinity,354.0
Infinity,355.0
Infinity,356.0
Infinity,357.0
Infinity,358.0
Infinity,359.0
Infinity,360.0
Infinity,361.0
Infinity,362.0
Infinity,363.0
Infinity,364.0
Infinity,365.0
Infinity,366.0
Infinity,367.0
Infinity,368.0
Infinity,369.0
Infinity,370.0
Infinity,371.0
Infinity,372.0
Infinity,373.0
Infinity,374.0
Infinity,375.0
Infinity,376.0
Infinity,377.0
Infinity,378.0
Infinity,379.0
Infinity,380.0
Infinity,381.0
Infinity,382.0
Infinity,383.0
Infinity,384.0
Infinity,385.0
Infinity,386.0
Infinity,387.0
Infinity,388.0
Infinity,389.0
Infinity,390.0
Infinity,391.0
Infinity,392.0
Infinity,393.0
Infinity,394.0
Infinity,395.0
Infinity,396.0
Infinity,397.0
Infinity,398.0
Infinity,399.0
Infinity,400.0
Infinity,401.0
Infinity,402.0
Infinity,403.0
Infinity,404.0
Infinity,405.0
Infinity,406.0
Infinity,407.0
Infinity,408.0
Infinity,409.0
Infinity,410.0
Infinity,411.0
Infinity,412.0
Infinity,413.0
Infinity,414.0
Infinity,415.0
Infinity,416.0
Infinity,417.0
Infinity,418.0
Infinity,419.0
Infinity,420.0
Infinity,421.0
Infinity,422.0
Infinity,423.0
Infinity,424.0
Infinity,425.0
Infinity,426.0
Infinity,427.0
Infinity,428.0
Infinity,429.0
Infinity,430.0
Infinity,431.0
Infinity,432.0
Infinity,433.0
Infinity,434.0
Infinity,435.0
Infinity,436.0
Infinity,437.0
Infinity,438.0
Infinity,439.0
Infinity,440.0
Infinity,441.0
Infinity,442.0
Infinity,443.0
Infinity,444.0
Infinity,445.0
Infinity,446.0
Infinity,447.0
Infinity,448.0
Infinity,449.0
Infinity,450.0
Infinity,451.0
Infinity,452.0
Infinity,453.0
Infinity,454.0
Infinity,455.0
Infinity,456.0
Infinity,457.0
Infinity,458.0
Infinity,459.0
Infinity,460.0
Infinity,461.0
Infinity,462.0
Infinity,463.0
Infinity,464.0
Infinity,465.0
Infinity,466.0
Infinity,467.0
Infinity,468.0
Infinity,469.0
Infinity,470.0
Infinity,471.0
Infinity,472.0
Infinity,473.0
Infinity,474.0
Infinity,475.0
Infinity,476.0
Infinity,477.0
Infinity,478.0
Infinity,479.0
Infinity,480.0
Infinity,481.0
Infinity,482.0
Infinity,483.0
Infinity,484.0
Infinity,485.0
Infinity,486.0
Infinity,487.0
Infinity,488.0
Infinity,489.0
Infinity,490.0
Infinity,491.0
Infinity,492.0
Infinity,493.0
Infinity,494.0
Infinity,495.0
Infinity,496.0
Infinity,497.0
Infinity,498.0
Infinity,499.0
Infinity,500.0
