"Coin Price","tick"
10000.0,1.0
1000000.0,2.0
1.0E8,3.0
1.0E10,4.0
1.0E12,5.0
1.0E14,6.0
1.0E16,7.0
1.0E18,8.0
1.0E20,9.0
1.0E22,10.0
1.0E24,11.0
1.0E26,12.0
1.0E28,13.0
1.0E30,14.0
1.0E32,15.0
1.0000000000000001E34,16.0
1.0E36,17.0
1.0E38,18.0
1.0E40,19.0
1.0E42,20.0
1.0E44,21.0
1.0000000000000001E46,22.0
1.0E48,23.0
1.0E50,24.0
1.0000000000000001E52,25.0
1.0E54,26.0
1.0E56,27.0
1.0000000000000001E58,28.0
1.0000000000000001E60,29.0
1.0000000000000001E62,30.0
1.0000000000000002E64,31.0
1.0000000000000001E66,32.0
1.0000000000000001E68,33.0
1.0E70,34.0
1.0000000000000001E72,35.0
1.0000000000000001E74,36.0
1.0E76,37.0
1.0E78,38.0
1.0E80,39.0
1.0E82,40.0
1.0E84,41.0
1.0E86,42.0
1.0E88,43.0
1.0E90,44.0
9.999999999999999E91,45.0
9.999999999999998E93,46.0
9.999999999999998E95,47.0
9.999999999999998E97,48.0
9.999999999999998E99,49.0
9.999999999999999E101,50.0
9.999999999999998E103,51.0
9.999999999999999E105,52.0
9.999999999999999E107,53.0
9.999999999999999E109,54.0
1.0E112,55.0
9.999999999999999E113,56.0
9.999999999999998E115,57.0
9.999999999999999E117,58.0
9.999999999999998E119,59.0
9.999999999999998E121,60.0
9.999999999999998E123,61.0
9.999999999999998E125,62.0
9.999999999999997E127,63.0
9.999999999999997E129,64.0
9.999999999999997E131,65.0
9.999999999999997E133,66.0
9.999999999999997E135,67.0
9.999999999999997E137,68.0
9.999999999999996E139,69.0
9.999999999999996E141,70.0
9.999999999999997E143,71.0
9.999999999999997E145,72.0
9.999999999999998E147,73.0
9.999999999999998E149,74.0
9.999999999999998E151,75.0
9.999999999999999E153,76.0
1.0E156,77.0
1.0E158,78.0
1.0E160,79.0
1.0E162,80.0
1.0E164,81.0
1.0E166,82.0
1.0E168,83.0
9.999999999999999E169,84.0
9.999999999999999E171,85.0
9.999999999999998E173,86.0
9.999999999999999E175,87.0
9.999999999999999E177,88.0
9.999999999999999E179,89.0
9.999999999999999E181,90.0
9.999999999999998E183,91.0
9.999999999999999E185,92.0
9.999999999999999E187,93.0
9.999999999999999E189,94.0
9.999999999999999E191,95.0
1.0E194,96.0
1.0E196,97.0
9.999999999999999E197,98.0
1.0E200,99.0
1.0E202,100.0
9.999999999999998E203,101.0
9.999999999999999E205,102.0
9.999999999999999E207,103.0
1.0E210,104.0
1.0E212,105.0
1.0E214,106.0
1.0E216,107.0
1.0E218,108.0
1.0000000000000001E220,109.0
1.0E222,110.0
1.0E224,111.0
1.0E226,112.0
1.0E228,113.0
9.999999999999999E229,114.0
9.999999999999999E231,115.0
9.999999999999998E233,116.0
9.999999999999998E235,117.0
9.999999999999998E237,118.0
9.999999999999998E239,119.0
9.999999999999998E241,120.0
9.999999999999998E243,121.0
9.999999999999997E245,122.0
9.999999999999997E247,123.0
9.999999999999996E249,124.0
9.999999999999997E251,125.0
9.999999999999997E253,126.0
9.999999999999997E255,127.0
9.999999999999996E257,128.0
9.999999999999997E259,129.0
9.999999999999997E261,130.0
9.999999999999997E263,131.0
9.999999999999997E265,132.0
9.999999999999998E267,133.0
9.999999999999998E269,134.0
9.999999999999998E271,135.0
9.999999999999997E273,136.0
9.999999999999997E275,137.0
9.999999999999996E277,138.0
9.999999999999996E279,139.0
9.999999999999996E281,140.0
9.999999999999996E283,141.0
9.999999999999996E285,142.0
9.999999999999996E287,143.0
9.999999999999995E289,144.0
9.999999999999996E291,145.0
9.999999999999996E293,146.0
9.999999999999996E295,147.0
9.999999999999996E297,148.0
9.999999999999996E299,149.0
9.999999999999997E301,150.0
9.999999999999997E303,151.0
9.999999999999997E305,152.0
9.999999999999996E307,153.0
Infinity,154.0
Infinity,155.0
Infinity,156.0
Infinity,157.0
Infinity,158.0
Infinity,159.0
Infinity,160.0
Infinity,161.0
Infinity,162.0
Infinity,163.0
Infinity,164.0
Infinity,165.0
Infinity,166.0
Infinity,167.0
Infinity,168.0
Infinity,169.0
Infinity,170.0
Infinity,171.0
Infinity,172.0
Infinity,173.0
Infinity,174.0
Infinity,175.0
Infinity,176.0
Infinity,177.0
Infinity,178.0
Infinity,179.0
Infinity,180.0
Infinity,181.0
Infinity,182.0
Infinity,183.0
Infinity,184.0
Infinity,185.0
Infinity,186.0
Infinity,187.0
Infinity,188.0
Infinity,189.0
Infinity,190.0
Infinity,191.0
Infinity,192.0
Infinity,193.0
Infinity,194.0
Infinity,195.0
Infinity,196.0
Infinity,197.0
Infinity,198.0
Infinity,199.0
Infinity,200.0
Infinity,201.0
Infinity,202.0
Infinity,203.0
Infinity,204.0
Infinity,205.0
Infinity,206.0
Infinity,207.0
Infinity,208.0
Infinity,209.0
Infinity,210.0
Infinity,211.0
Infinity,212.0
Infinity,213.0
Infinity,214.0
Infinity,215.0
Infinity,216.0
Infinity,217.0
Infinity,218.0
Infinity,219.0
Infinity,220.0
Infinity,221.0
Infinity,222.0
Infinity,223.0
Infinity,224.0
Infinity,225.0
Infinity,226.0
Infinity,227.0
Infinity,228.0
Infinity,229.0
Infinity,230.0
Infinity,231.0
Infinity,232.0
Infinity,233.0
Infinity,234.0
Infinity,235.0
Infinity,236.0
Infinity,237.0
Infinity,238.0
Infinity,239.0
Infinity,240.0
Infinity,241.0
Infinity,242.0
Infinity,243.0
Infinity,244.0
Infinity,245.0
Infinity,246.0
Infinity,247.0
Infinity,248.0
Infinity,249.0
Infinity,250.0
Infinity,251.0
Infinity,252.0
Infinity,253.0
Infinity,254.0
Infinity,255.0
Infinity,256.0
Infinity,257.0
Infinity,258.0
Infinity,259.0
Infinity,260.0
Infinity,261.0
Infinity,262.0
Infinity,263.0
Infinity,264.0
Infinity,265.0
Infinity,266.0
Infinity,267.0
Infinity,268.0
Infinity,269.0
